shot_id,shot_made_flag
1,0.38006206237692003
8,0.3315720246840637
17,0.7635360869334838
20,0.7756872338088732
33,0.38734755650179653
34,0.4620363473297563
35,0.4447305326171906
36,0.43930369437852856
37,0.674894214736301
38,0.36954983047720935
45,0.4126658571848152
50,0.30194946715424004
55,0.3696698782775132
60,0.373166806965438
66,0.3377093394729122
67,0.2903453862139171
71,0.33616054830260983
80,0.294205228070249
85,0.35246158190986226
86,0.6075517132048112
95,0.6074328605925352
104,0.34140235018842413
113,0.34218679482031655
123,0.2888625424616537
126,0.7778698653202386
133,0.6153922895590803
141,0.25789838429704726
144,0.390966189642872
150,0.78345865948004
152,0.37674170073908186
153,0.764000586617413
156,0.3617690553427054
159,0.9223933821200437
165,0.7862800534678656
172,0.43649197292597636
182,0.9543744418261452
192,0.3608224180111275
193,0.7739422173196515
196,0.3285793092771873
202,0.33280231600019416
210,0.3266054200569733
211,0.35765589655843705
228,0.9766541926391583
257,0.41931116035574295
260,0.40746849628699044
264,0.3976409509834706
267,0.5789706336755568
279,0.9517007607109648
282,0.3782228164354125
293,0.3414420600510202
299,0.736457263709626
300,0.5872338275069109
301,0.708674525240461
317,0.30148213334247725
327,0.3499798931992044
328,0.347022678390324
335,0.43420929302496686
346,0.7536753248344457
348,0.33400535205292714
365,0.43086747068707476
390,0.745636607224598
391,0.7359951729486336
392,0.7461716277466154
397,0.3775247086676425
418,0.40253777307788596
428,0.2762223561699517
434,0.5240160467735141
439,0.37963625776851656
440,0.32568544788767545
456,0.3695733108212059
459,0.35913460992196666
472,0.43541718241479715
480,0.2709184545506437
491,0.3661904809952499
497,0.33586533879243885
509,0.35215080412194627
511,0.3677695897613217
523,0.3243565966701034
533,0.3792940040231945
544,0.38898285436395735
546,0.359479917919921
555,0.7225665946365413
558,0.3918244621747402
560,0.3531676911267171
573,0.32021036987236473
591,0.35971026231894765
596,0.2904245870688734
597,0.3364540817589873
601,0.48267616493650184
605,0.4129819098283831
617,0.30599797494279424
628,0.26135478410622975
634,0.31786044962344745
646,0.27039227726684656
649,0.35303157348866504
651,0.713630866293194
654,0.7337703648007745
656,0.4459149473319175
657,0.39860660855568614
669,0.3572855316029774
670,0.9487123533229832
693,0.5962528024688852
694,0.27370417696121707
699,0.41229512897412113
711,0.37010786897853826
718,0.33975310924047747
722,0.3431583834280414
723,0.3522591538092634
725,0.6225177012673662
734,0.3676495257823128
735,0.434750590514785
737,0.765257061929032
746,0.34599743722535614
747,0.6449668427891204
766,0.3570277799438908
767,0.3272981068359454
771,0.2850940842276028
773,0.34464419115941813
774,0.3761860193742069
783,0.3481994644777962
784,0.33014874444696024
789,0.3190883032683171
792,0.3339034724782773
804,0.2898997154804903
809,0.34822801937175346
812,0.314436311121272
813,0.33156008333259296
817,0.32412407790936376
820,0.3199571745452069
825,0.35897116842287985
826,0.372934496512102
829,0.42515263504376893
855,0.33707571220578886
